transaction_id,date,type,amount,currency,institution,counterparty,location,is_fraud,description,fraud_pattern,day_of_week,month,hour,amount_log,amount_category,counterparty_freq
TXN90234529,2024-06-30,Ijarah,159.37472449272852,USD,Qatar Islamic Bank,"Kennedy, Glass and Collins",Congo,False,Normal transaction,,6,6,13,5.077513105040192,small,1
TXN21661509,2025-01-26,Ijarah,386.00972411363597,SAR,Al Baraka Bank,"Dennis, Young and Pratt",Japan,False,Normal transaction,,6,1,17,5.958449819622726,small,1
TXN31581203,2024-10-01,Qard,144.1217556339662,QAR,Al Rajhi Bank,Thomas Ltd,Antarctica (the territory South of 60 deg S),False,Normal transaction,,1,10,9,4.977573084102126,small,4
TXN17217803,2024-11-13,Sukuk,527.6702782014452,SAR,Al Baraka Bank,"Frost, Anderson and Davis",Mali,False,Normal transaction,,2,11,13,6.270364944905831,small,1
TXN40084157,2024-08-19,Qard,11.919137228760809,MYR,Al Rajhi Bank,Zhang-Hughes,Haiti,False,Normal transaction,,0,8,10,2.558709718165019,small,1
TXN48445118,2025-03-09,Tawarruq,1000.4599106502928,USD,Qatar Islamic Bank,Johnson-Pugh,Netherlands Antilles,False,Normal transaction,,6,3,17,6.909214124998931,medium,1
TXN75276892,2024-10-23,Mudarabah,43.270846928268334,MYR,Dubai Islamic Bank,Ferguson-Liu,Croatia,False,Normal transaction,,2,10,10,3.7903263775361697,small,1
TXN41293116,2024-08-02,Musharakah,43.047934779094064,QAR,Qatar Islamic Bank,"Allen, Smith and Hull",Nigeria,False,Normal transaction,,4,8,15,3.7852784677211235,small,1
TXN16391004,2024-07-24,Mudarabah,131.61935991604875,SAR,Al Rajhi Bank,Peterson and Sons,Heard Island and McDonald Islands,False,Normal transaction,,2,7,10,4.887483069477926,small,2
TXN59545687,2024-08-14,Sukuk,40.23406954651899,MYR,Dubai Islamic Bank,Perez-Knight,Italy,False,Normal transaction,,2,8,10,3.71926484537738,small,1
TXN65633071,2024-11-27,Istisna,645.1155791524855,USD,Qatar Islamic Bank,Ward Ltd,Nicaragua,False,Normal transaction,,2,11,11,6.470978402875931,small,1
TXN15109084,2024-07-09,Murabaha,691.9083257925308,QAR,Dubai Islamic Bank,"Juarez, Carpenter and Le",Lao People's Democratic Republic,False,Normal transaction,,1,7,16,6.540897704425673,small,1
TXN6042456,2024-09-04,Ijarah,69.99782245962456,MYR,Al Baraka Bank,Graham-Kirby,Marshall Islands,False,Normal transaction,,2,9,8,4.262649206988241,small,1
TXN87649817,2025-01-20,Murabaha,1292.9138191170584,QAR,Al Rajhi Bank,Murray-Edwards,Afghanistan,False,Normal transaction,,0,1,8,7.165426872469727,medium,1
TXN22872705,2024-07-01,Ijarah,180.12677143769383,QAR,Al Baraka Bank,"Lane, Foster and Salinas",Iceland,False,Normal transaction,,0,7,14,5.199197180787327,small,1
TXN10270189,2024-06-26,Sukuk,69.35232916941403,SAR,Al Rajhi Bank,Miller PLC,Saint Pierre and Miquelon,False,Normal transaction,,2,6,12,4.253515891319566,small,4
TXN73039823,2024-12-02,Musharakah,395.2288271506292,SAR,Qatar Islamic Bank,"Giles, Morrow and Henderson",Philippines,False,Normal transaction,,0,12,13,5.981991890705545,small,1
TXN77100499,2025-04-02,Sukuk,224.1545194150721,QAR,Al Baraka Bank,Gallegos Ltd,Jersey,False,Normal transaction,,2,4,16,5.4167869194533935,small,1
TXN52870546,2024-08-20,Sukuk,96.53481236482257,USD,Maybank Islamic,"Lewis, Haynes and King",Bosnia and Herzegovina,False,Normal transaction,,1,8,10,4.580209364172273,small,1
TXN81989022,2024-09-08,Qard,41.10371470000153,QAR,Kuwait Finance House,Davenport PLC,Iraq,False,Normal transaction,,6,9,8,3.740135971950274,small,1
TXN15443850,2024-08-12,Musharakah,1055.30807888401,SAR,Al Baraka Bank,"Brown, Lewis and Taylor",Tokelau,False,Normal transaction,,0,8,16,6.962535163085403,medium,1
TXN27228365,2024-12-24,Tawarruq,108.48776240205865,QAR,Qatar Islamic Bank,Pratt-Garcia,Puerto Rico,False,Normal transaction,,1,12,16,4.695812784125756,small,1
TXN23746989,2024-12-01,Musharakah,214.6355425903876,USD,Kuwait Finance House,Graham and Sons,Tunisia,False,Normal transaction,,6,12,17,5.373589679763204,small,2
TXN3573397,2025-02-01,Musharakah,96.1674285268785,USD,Kuwait Finance House,Martinez Ltd,Heard Island and McDonald Islands,False,Normal transaction,,5,2,15,4.576435557848596,small,5
TXN2972444,2024-10-21,Ijarah,96.14687903818933,QAR,Dubai Islamic Bank,"Patrick, Rogers and Alvarez",Latvia,False,Normal transaction,,0,10,13,4.576224050121519,small,1
TXN62533873,2024-05-13,Murabaha,101.91765997725965,AED,Al Rajhi Bank,Andrews-Lewis,Tanzania,False,Normal transaction,,0,5,15,4.6339292508284045,small,1
TXN53577591,2025-04-02,Murabaha,2619.702721002467,USD,Dubai Islamic Bank,Potter LLC,Wallis and Futuna,False,Normal transaction,,2,4,15,7.871197774915244,medium,1
TXN365469,2025-04-25,Musharakah,14273.185438888031,SAR,Qatar Islamic Bank,"Sanchez, Herman and Pena",Czech Republic,False,Normal transaction,,4,4,16,9.566207970821715,large,1
TXN87423193,2025-03-05,Murabaha,181.99611186431065,USD,Al Baraka Bank,Nguyen-Gonzalez,Montenegro,False,Normal transaction,,2,3,15,5.209464905972597,small,1
TXN59732591,2025-01-27,Qard,60.97111413599447,QAR,Al Baraka Bank,Martin-Mccarthy,Bulgaria,False,Normal transaction,,0,1,10,4.126668375447136,small,1
TXN23697581,2024-07-09,Murabaha,138.22122329202634,USD,Dubai Islamic Bank,Brown-Martin,Bolivia,False,Normal transaction,,1,7,13,4.936064202456883,small,1
TXN33460806,2024-08-12,Tawarruq,355.3363748972077,USD,Qatar Islamic Bank,"Humphrey, Taylor and Parker",Sri Lanka,False,Normal transaction,,0,8,17,5.875875158047001,small,1
TXN67187371,2025-05-06,Ijarah,483.4940889156477,USD,Dubai Islamic Bank,Walton-Robbins,Guinea-Bissau,False,Normal transaction,,1,5,11,6.183105230875896,small,1
TXN23073755,2024-12-05,Istisna,1135.9749076216938,MYR,Qatar Islamic Bank,Baker-Barrett,South Georgia and the South Sandwich Islands,False,Normal transaction,,3,12,8,7.036126424572707,medium,1
TXN94785176,2025-04-08,Sukuk,292.5780977534392,SAR,Dubai Islamic Bank,"Miller, Clark and Abbott",United Arab Emirates,False,Normal transaction,,1,4,17,5.682143695025294,small,1
TXN77772934,2024-11-16,Tawarruq,268.83832237476105,USD,Dubai Islamic Bank,"Rogers, Sosa and Stevens",Namibia,False,Normal transaction,,5,11,11,5.597822973623043,small,1
TXN83197676,2025-05-05,Sukuk,96.93652283483186,AED,Dubai Islamic Bank,Lopez Group,Mongolia,False,Normal transaction,,0,5,16,4.584319542630159,small,3
TXN42704550,2024-08-02,Istisna,619.0842787883166,QAR,Al Baraka Bank,"Lambert, Green and Chan",Netherlands Antilles,False,Normal transaction,,4,8,14,6.429855402330555,small,1
TXN74093017,2024-09-22,Qard,48.40720777564693,MYR,Maybank Islamic,Horton-Kaufman,Hong Kong,False,Normal transaction,,6,9,11,3.900096319940189,small,1
TXN33726930,2024-08-24,Ijarah,68.97026721615866,AED,Maybank Islamic,Castro LLC,Azerbaijan,False,Normal transaction,,5,8,14,4.248070397760927,small,1
TXN26202397,2025-01-28,Ijarah,89.2476637873084,MYR,Al Rajhi Bank,"Martinez, Hamilton and Bush",France,False,Normal transaction,,1,1,9,4.502557710864738,small,1
TXN5744236,2025-03-03,Ijarah,1374.6282274337443,MYR,Qatar Islamic Bank,"Banks, Chen and Knight",Western Sahara,False,Normal transaction,,0,3,16,7.22666579843608,medium,1
TXN52251855,2024-05-09,Ijarah,628.5948803221822,SAR,Qatar Islamic Bank,"Johnson, Lewis and Berry",Guyana,False,Normal transaction,,3,5,11,6.445076565434461,small,1
TXN83988776,2024-12-27,Musharakah,170.35285424445428,USD,Al Baraka Bank,"Ryan, Herman and Jenkins",Samoa,False,Normal transaction,,4,12,8,5.143724905575841,small,1
TXN10462081,2025-01-12,Istisna,68.50472232041486,QAR,Al Rajhi Bank,Collins Ltd,Niger,False,Normal transaction,,6,1,11,4.241394697318778,small,3
